ID,Process_Time,Site,Skill_Req,Plant Type,Description,Engineer,Day_Sched,Start_min
INS262580,1,PON.PONTEFRACT CASTLE VISITORS CENTRE & CAFE,gas,34.01A,Gas Servicing (Annual),Engineer 0,10/03/2020,13:31:00
INS272054,1,PON.PONTEFRACT CASTLE VISITORS CENTRE & CAFE,gas,34.01C,Gas Catering Servicing (Annual),Engineer 0,10/03/2020,12:31:00
INS272055,1,PON.PONTEFRACT CASTLE VISITORS CENTRE & CAFE,gas,34.01A,Gas Servicing (Annual),Engineer 0,10/03/2020,10:02:00
INS261325,1,PON.PONTEFRACT MARKET HALL,gas,34.01A,Gas Servicing (Annual),Engineer 0,10/03/2020,09:01:00
INS261327,1,PON.PONTEFRACT MARKET HALL,gas,34.01A,Gas Servicing (Annual),Engineer 0,10/03/2020,08:01:00
INS211947,4,PON.St. Helen's CE Primary School (Academy) PLAYING FIELDS(1835)(SCHOOL Not owned by WMDC),gas,34.01A,Gas Servicing (Annual),Engineer 0,09/03/2020,12:01:00
INS242818,4,PON.St. Helen's CE Primary School (Academy) PLAYING FIELDS(1835)(SCHOOL Not owned by WMDC),gas,34.01A,Gas Servicing (Annual),Engineer 0,09/03/2020,08:01:00
INS252369,1,WAK.HORBURY CARR LODGE PARK LODGE/HOUSE,gas,34.01A,Gas Servicing (Annual),Engineer 0,06/03/2020,13:36:00
INS260651,1,WAK.Horbury St. Peters & Clifton CE Primary School (1918) (SCHOOL Not owned by WMDC),gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,06/03/2020,12:31:00
INS271986,0.5,WAK.Horbury St. Peters & Clifton CE Primary School (1918) (SCHOOL Not owned by WMDC),gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,06/03/2020,09:22:00
INS252373,1.2,WAK.Kettlethorpe High School (1951),gas,34.01A,Gas Servicing (Annual),Engineer 0,06/03/2020,08:01:00
INS252375,1.2,WAK.Kettlethorpe High School (1951),gas,34.01A,Gas Servicing (Annual),Engineer 0,05/03/2020,14:37:00
INS252377,1.2,WAK.Kettlethorpe High School (1951),gas,34.01A,Gas Servicing (Annual),Engineer 0,05/03/2020,13:25:00
INS252378,1.2,WAK.Kettlethorpe High School (1951),gas,34.01A,Gas Servicing (Annual),Engineer 0,05/03/2020,12:13:00
INS252379,1.2,WAK.Kettlethorpe High School (1951),gas,34.01A,Gas Servicing (Annual),Engineer 0,05/03/2020,11:01:00
INS252380,1.2,WAK.Kettlethorpe High School (1951),gas,34.01A,Gas Servicing (Annual),Engineer 0,05/03/2020,09:49:00
INS252381,1.2,WAK.Kettlethorpe High School (1951),gas,34.01A,Gas Servicing (Annual),Engineer 0,05/03/2020,08:37:00
INS271987,0.6,WAK.Kettlethorpe High School (1951),gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,05/03/2020,08:01:00
INS212529,2.5,WAK.KING STREET 27,gas,34.01A,Gas Servicing (Annual),Engineer 0,04/03/2020,13:01:00
INS212531,2.5,WAK.KING STREET 27,gas,34.01A,Gas Servicing (Annual),Engineer 0,04/03/2020,10:31:00
INS233254,2.5,WAK.KING STREET 27,gas,34.01A,Gas Servicing (Annual),Engineer 0,04/03/2020,08:01:00
INS252366,2.5,WAK.KING STREET 27,gas,34.01A,Gas Servicing (Annual),Engineer 0,03/03/2020,12:30:00
INS260220,1,WAK.Kingsland School (1478),gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,03/03/2020,09:01:00
INS272072,0.5,WAK.Kingsland School (1478),gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,03/03/2020,10:01:00
INS252402,1,WAK.KINGSLAND SPECIAL SCH CARETAKERS BUNGALOW SITE,gas,34.01A,Gas Servicing (Annual),Engineer 0,03/03/2020,08:01:00
INS271985,0.5,WAK.Netherton J&I School (1935),gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,02/03/2020,14:16:00
INS271989,0.5,WAK.Sandal Castle Community School (1459) (NOT WMDC OWNED),gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,02/03/2020,13:36:00
INS260653,1,WAK.St. Mary's CE Primary (J&I) School PLAYING FIELD (1423) (SCHOOL Not owned by WMDC),gas,34.01D,Gas Catering Servicing (6 monthly),Engineer 0,02/03/2020,12:31:00
INS206681,1,WAK.SUN LANE LEISURE CENTRE AND CAFE (l/02985 merged with this site),gas,34.01B,Gas Servicing (6 monthly),Engineer 0,02/03/2020,10:04:00
INS206683,1,WAK.SUN LANE LEISURE CENTRE AND CAFE (l/02985 merged with this site),gas,34.01B,Gas Servicing (6 monthly),Engineer 0,02/03/2020,09:04:00
INS271984,0.5,WAK.THORNES PARK SPORTS HALL/TRACK,gas,34.02,Gas Shut Off Valve Service (3 monthly),Engineer 0,02/03/2020,08:30:00
